"CEP";"Quantidade"
"15775-000";"14,00"
"78785-000";"54,00"
"78635-000";"48,00"
"79490-000";"24,00"
"75803-297";"12,00"
"78770-000";"44,00"
"73900-000";"48,00"
"75809-899";"44,00"
"85170-000";"48,00"
"98270-000";"26,00"
"98700-000";"6,00"
"78450-000";"4,00"
"19960-040";"4,00"
"65990-000";"4,00"
"65937-000";"20,00"
"62960-000";"40,00"
"75620-000";"60,00"
"47819-899";"104,00"
"79010-090";"2,00"
"89306-580";"4,00"
"95552-000";"24,00"
"97420-000";"26,00"
"96450-000";"26,00"
"96450-000";"30,00"
"98170-000";"4,00"
"37223-000";"12,00"
"75804-712";"52,00"
"84990-000";"60,00"
"14120-000";"2,00"
"75620-000";"20,00"
"47990-000";"60,00"
"47990-000";"40,00"
"98170-000";"2,00"
"18690-000";"14,00"
"75915-000";"52,00"
"78310-000";"100,00"
"98700-000";"52,00"
"79150-000";"6,00"
"47855-676";"25,00"
"47855-676";"101,00"
"98920-000";"6,00"
"84990-000";"4,00"
"68193-000";"6,00"
"96330-000";"2,00"
"97760-000";"2,00"
"97870-000";"6,00"
"75860-000";"30,00"
"98130-000";"4,00"
"75110-250";"22,00"
"98130-000";"2,00"
"87200-153";"8,00"
"78435-000";"4,00"
"77500-000";"4,00"
"75838-899";"30,00"
"85580-000";"2,00"
"98590-000";"2,00"
"15775-000";"4,00"
"78360-000";"2,00"
"78645-000";"30,00"
"98200-000";"2,00"
"98200-000";"2,00"
"84220-000";"2,00"
"84220-000";"2,00"
"89817-000";"2,00"
"75906-490";"170,00"
"75906-490";"30,00"
"78365-000";"64,00"
"47819-899";"4,00"
"76381-328";"18,00"
"78450-000";"28,00"
"86130-000";"26,00"
"78630-000";"4,00"
"38175-000";"32,00"
"78635-000";"44,00"
"75800-001";"50,00"
"38570-000";"18,00"
"78050-260";"2,00"
"84300-000";"26,00"
"98590-000";"2,00"
"98590-000";"2,00"
"99010-140";"6,00"
"96230-000";"4,00"
"78360-000";"10,00"
"68193-000";"58,00"
"64930-000";"10,00"
"78360-000";"20,00"
"75930-000";"26,00"
"98915-000";"2,00"
"84507-060";"2,00"
"97310-016";"6,00"
"78469-000";"4,00"
"98920-000";"42,00"
"74810-100";"108,00"
"73850-000";"26,00"
"98005-110";"6,00"
"85840-000";"2,00"
"78400-000";"1,00"
"15620-000";"10,00"
"38616-014";"44,00"
"78559-899";"4,00"
"74810-230";"2,00"
"78892-181";"10,00"
"69380-000";"34,00"
"62960-000";"30,00"
"64860-000";"4,00"
"86058-100";"4,00"
"75800-001";"74,00"
"47100-000";"30,00"
"38270-000";"2,00"
"89460-192";"2,00"
"78885-000";"110,00"
"47865-899";"116,00"
"73990-000";"48,00"
"85957-000";"4,00"
"68521-000";"26,00"
"85195-000";"64,00"
"69315-212";"70,00"
"69315-212";"30,00"
"78556-646";"60,00"
"78850-000";"36,00"
"78850-000";"316,00"
"75503-070";"24,00"
"78545-000";"128,00"
"38616-014";"22,00"
"78440-000";"60,00"
"47100-000";"18,00"
"78578-000";"40,00"
"78535-000";"8,00"
"98590-000";"2,00"
"87120-000";"4,00"
"78850-000";"50,00"
"78643-000";"14,00"
"75650-000";"80,00"
"77249-899";"40,00"
"65800-000";"90,00"
"39480-000";"18,00"
"85118-000";"22,00"
"89980-000";"20,00"
"85927-000";"8,00"
"75610-000";"4,00"
"85486-012";"2,00"
"98700-000";"8,00"
"96690-000";"6,00"
"75620-000";"18,00"
"37790-000";"8,00"
"78664-000";"4,00"
"79560-000";"52,00"
"47803-750";"52,00"
"47803-750";"76,00"
"97325-000";"120,00"
"87013-903";"4,00"
"18725-000";"22,00"
"78870-000";"4,00"
"78890-130";"8,00"
"78466-579";"48,00"
"78668-000";"4,00"
"78435-000";"58,00"
"97880-000";"28,00"
"75800-001";"8,00"
"84570-000";"2,00"
"75820-000";"60,00"
"75838-899";"30,00"
"47865-899";"12,00"
"78635-000";"26,00"
"76230-000";"32,00"
"97420-000";"40,00"
"98580-000";"22,00"
"96450-000";"22,00"
"62665-000";"8,00"
"75832-598";"26,00"
"77465-000";"42,00"
"77465-000";"36,00"
"81200-300";"6,00"
"76820-370";"30,00"
"99440-000";"60,00"
"89466-560";"48,00"
"98920-000";"240,00"
"78850-000";"22,00"
"75704-020";"4,00"
"86300-000";"14,00"
"47865-899";"62,00"
"75909-802";"40,00"
"75909-802";"80,00"
"78390-000";"20,00"
"75610-000";"68,00"
"85530-000";"4,00"
"75395-000";"24,00"
"86340-000";"32,00"
"68627-451";"140,00"
"78550-544";"40,00"
"84130-000";"2,00"
"79002-141";"20,00"
"19864-899";"22,00"
"98920-000";"16,00"
"98920-000";"12,00"
"98855-000";"2,00"
"79180-000";"22,00"
"99099-899";"14,00"
"85892-000";"28,00"
"19978-899";"22,00"
"85770-000";"4,00"
"78678-000";"180,00"
"79430-000";"2,00"
"13486-124";"2,00"
"97870-000";"12,00"
"75834-392";"108,00"
"78635-000";"56,00"
"99440-000";"60,00"
"98590-000";"2,00"
"89480-000";"56,00"
"89480-000";"16,00"
"85200-970";"6,00"
"89480-000";"40,00"
"77500-000";"48,00"
"79260-000";"22,00"
"86340-000";"72,00"
"98335-000";"14,00"
"73990-000";"48,00"
"85485-000";"18,00"
"78670-000";"10,00"
"85420-000";"2,00"
"78630-000";"18,00"
"75834-392";"6,00"
"75184-000";"120,00"
"98250-000";"20,00"
"38623-899";"26,00"
"99099-899";"12,00"
"19889-899";"2,00"
"75838-899";"30,00"
"84043-000";"20,00"
"85319-899";"4,00"
"78850-000";"48,00"
"85635-000";"14,00"
"96400-020";"26,00"
"98040-570";"2,00"
"84350-000";"26,00"
"78640-000";"2,00"
"78545-000";"54,00"
"75803-300";"30,00"
"78457-899";"8,00"
"76934-000";"4,00"
"37980-000";"26,00"
"75915-000";"52,00"
"76980-044";"12,00"
"78360-000";"6,00"
"78360-000";"74,00"
"76235-000";"52,00"
"79780-000";"12,00"
"38490-000";"24,00"
"13631-970";"14,00"
"87300-020";"16,00"
"89460-096";"6,00"
"78635-000";"34,00"
"38623-899";"22,00"
"38623-899";"28,00"
"18207-844";"24,00"
"37407-000";"22,00"
"37407-000";"28,00"
"78360-000";"124,00"
"15950-000";"36,00"
"85640-000";"2,00"
"78690-000";"12,00"
"75240-000";"28,00"
"75838-899";"3,00"
"98150-000";"2,00"
"96501-152";"4,00"
"78360-000";"84,00"
"99320-000";"2,00"
"79560-000";"52,00"
"97850-000";"82,00"
"97850-000";"60,00"
"89891-000";"2,00"
"85560-000";"2,00"
"85877-000";"4,00"
"85025-010";"4,00"
"97870-000";"8,00"
"38650-000";"28,00"
"98750-000";"2,00"
"99500-000";"44,00"
"99500-000";"26,00"
"98590-000";"2,00"
"78550-544";"8,00"
"96055-680";"4,00"
"85804-370";"8,00"
"85804-370";"4,00"
"85804-370";"2,00"
"38689-000";"22,00"
"78320-000";"4,00"
"78710-425";"20,00"
"78710-425";"8,00"
"64900-000";"10,00"
"89935-000";"14,00"
"12570-000";"10,00"
"75834-392";"48,00"
"76210-000";"88,00"
"74810-100";"28,00"
"99880-000";"4,00"
"87365-000";"24,00"
"75110-477";"22,00"
"78457-899";"66,00"
"75184-000";"48,00"
"75860-000";"4,00"
"75915-000";"64,00"
"77403-080";"2,00"
"95320-000";"18,00"
"75834-279";"30,00"
"78460-500";"200,00"
"75805-030";"48,00"
"75805-030";"20,00"
"78870-000";"12,00"
"38660-000";"34,00"
"64860-000";"4,00"
"85819-120";"2,00"
"78635-000";"2,00"
"75850-000";"284,00"
"99400-000";"2,00"
"47990-000";"4,00"
"75915-000";"78,00"
"98920-000";"64,00"
"78898-899";"4,00"
"85892-000";"2,00"
"78850-000";"10,00"
"78850-000";"10,00"
"38412-102";"2,00"
"97200-000";"2,00"
"14315-358";"2,00"
"64930-000";"2,00"
"85887-000";"2,00"
"98700-000";"2,00"
"99925-000";"2,00"
"65530-000";"26,00"
"78573-000";"60,00"
"85525-000";"2,00"
"78875-000";"8,00"
"74810-100";"108,00"
"78559-899";"12,00"
"65715-000";"28,00"
"78898-899";"20,00"
"78880-000";"20,00"
"98590-000";"4,00"
"89770-000";"2,00"
"97200-000";"12,00"
"85410-000";"10,00"
"89870-000";"2,00"
"98590-000";"12,00"
"79158-899";"22,00"
"38202-064";"2,00"
"98910-000";"2,00"
"18744-899";"8,00"
"14180-000";"30,00"
"78790-000";"40,00"
"86140-000";"26,00"
"73850-000";"40,00"
"98920-000";"12,00"
"78578-000";"12,00"
"85927-000";"2,00"
"65800-000";"120,00"
"38755-000";"12,00"
"79157-899";"60,00"
"85722-150";"2,00"
"85980-000";"2,00"
"68193-000";"60,00"
"68193-000";"52,00"
"85050-290";"2,00"
"98590-000";"16,00"
"78500-000";"18,00"
"86720-000";"4,00"
"78790-000";"12,00"
"65940-000";"2,00"
"49514-000";"16,00"
"98590-000";"62,00"
"85980-000";"2,00"
"77695-000";"60,00"
"77695-000";"2,00"
"78635-000";"30,00"
"78880-000";"10,00"
"99350-000";"22,00"
"78785-000";"72,00"
"47970-000";"2,00"
"75820-000";"60,00"
