cep,quantidade,lat,lon,state,city,neighborhood,street,service
76864000,38.0,,,RO,Cujubim,,,open-cep
76934000,4.0,,,RO,Seringueiras,,,open-cep
77023464,224.0,,,TO,Palmas,Plano Diretor Sul,Quadra ASR SE 95 Alameda 9,open-cep
77249899,40.0,,,TO,Palmas,Área Rural de Palmas,Área Rural de Palmas,open-cep
77813445,24.0,,,TO,Araguaína,Loteamento Dona Nélcia,Rua Cardel Arco Verde,open-cep
78200000,20.0,,,MT,Cáceres,,,widenet
78250000,20.0,,,MT,Pontes e Lacerda,,,open-cep
78254000,28.0,,,MT,Conquista D'Oeste,,,open-cep
78400000,1.0,,,MT,Diamantino,,,open-cep
78440000,60.0,,,MT,Nova Maringá,,,open-cep
78450000,34.0,,,MT,Nova Mutum,,,open-cep
78457899,74.0,,,MT,Nova Mutum,Área Rural de Nova Mutum,Área Rural,open-cep
78460500,200.0,,,MT,Lucas do Rio Verde,Bandeirantes,Avenida da Produção,open-cep
78466579,48.0,,,MT,Lucas do Rio Verde,Parque das Emas,Rua das Itaúbas,open-cep
78469000,4.0,,,MT,Lucas do Rio Verde,Groslândia,,open-cep
78545000,294.0,,,MT,Santa Carmem,,,open-cep
78548000,1.0,,,MT,Nova Santa Helena,,,open-cep
78559899,16.0,,,MT,Sinop,Área Rural de Sinop,Área Rural,open-cep
78573000,60.0,,,MT,Tapurah,,,open-cep
78578000,52.0,,,MT,Ipiranga do Norte,,,open-cep
78607899,8.0,,,MT,Barra do Garças,Área Rural de Barra do Garças,Área Rural,open-cep
78628000,2.0,,,MT,Santo Antônio do Leste,,,open-cep
78664000,4.0,,,MT,Santa Cruz do Xingu,,,open-cep
78668000,4.0,,,MT,Serra Nova Dourada,,,open-cep
78785000,126.0,,,MT,Alto Taquari,,,open-cep
78790000,52.0,,,MT,Itiquira,,,open-cep
78810000,30.0,,,MT,Juscimeira,,,open-cep
78830000,24.0,,,MT,Dom Aquino,,,open-cep
78880000,32.0,,,MT,Vera,,,open-cep
78888000,20.0,,,MT,Nova Ubiratã,,,open-cep
78890130,8.0,,,MT,Sorriso,Centro-Norte,Rua das Hortênsias,open-cep
78892181,10.0,,,MT,Sorriso,Jardim Aurora,Rua das Macieiras,open-cep
78894110,22.0,,,MT,Sorriso,Santa Mônica,Avenida Perimetral Sudoeste,open-cep
78896050,2.0,,,MT,Sorriso,Centro-Sul,Rua Genésio Roberto Baggio,open-cep
78898899,24.0,,,MT,Sorriso,Área Rural de Sorriso,Área Rural,open-cep
79000170,2.0,,,,,,,
79010090,2.0,,,MS,Campo Grande,Monte Castelo,Rua Júlio Barone,open-cep
79124899,6.0,,,MS,Campo Grande,Área Rural de Campo Grande,Área Rural,open-cep
79150000,132.0,,,MS,Maracaju,,,open-cep
79170000,2.0,,,MS,Sidrolândia,,,open-cep
79260000,22.0,,,MS,Bela Vista,,,open-cep
79430000,20.0,,,MS,Bandeirantes,,,open-cep
79490000,38.0,,,MS,São Gabriel do Oeste,,,open-cep
79780000,12.0,,,MS,Bataguassu,,,open-cep
79932000,2.0,,,MS,Aral Moreira,Vila Marques,,open-cep
83880000,14.0,,,PR,Rio Negro,,,open-cep
83980000,32.0,,,PR,Antônio Olinto,,,open-cep
84043000,20.0,,,PR,Ponta Grossa,Colônia Dona Luíza,Avenida Visconde de Mauá,open-cep
84130000,2.0,,,PR,Palmeira,,,open-cep
